GWAS	cM_threshold	cluster	CHR	bp_start	bp_stop	cM_start	cM_stop	nSNPs_in_cluster
PSP_Hoglinger	0.01	1	1	179259770	179259770	196.016565393594	196.016565393594	1
PSP_Hoglinger	0.01	2	7	12038034	12038034	22.3145494248988	22.3145494248988	1
PSP_Hoglinger	0.01	3	17	42259087	42259087	68.0943312703947	68.0943312703947	1
PSP_Hoglinger	0.01	4	17	42665225	42665225	68.2389332279465	68.2389332279465	1
PSP_Hoglinger	0.01	5	17	42689556	42717206	68.2520449371492	68.257027061115	2
PSP_Hoglinger	0.01	6	17	42922909	42922909	68.4097192859004	68.4097192859004	1
PSP_Hoglinger	0.01	7	17	42955679	43030420	68.4701875836975	68.4879622783315	5
PSP_Hoglinger	0.01	8	17	43058251	43223550	68.5325429517342	68.5425452164392	13
PSP_Hoglinger	0.01	9	17	43335235	43335235	68.6542302164392	68.6542302164392	1
PSP_Hoglinger	0.01	10	17	43359533	43359533	68.6697034222327	68.6697034222327	1
PSP_Hoglinger	0.01	11	17	43409773	43409773	68.6898813062589	68.6898813062589	1
PSP_Hoglinger	0.01	12	17	43467482	43485075	68.7176103917496	68.7203183076808	2
PSP_Hoglinger	0.01	13	17	44068018	44071098	69.2734761779914	69.2738684469862	2
PSP_Hoglinger	0.01	14	17	44136937	44143231	69.2949104915833	69.2952988943509	2
PSP_Hoglinger	0.02	1	1	179259770	179259770	196.016565393594	196.016565393594	1
PSP_Hoglinger	0.02	2	7	12038034	12038034	22.3145494248988	22.3145494248988	1
PSP_Hoglinger	0.02	3	17	42259087	42259087	68.0943312703947	68.0943312703947	1
PSP_Hoglinger	0.02	4	17	42665225	42717206	68.2389332279465	68.257027061115	3
PSP_Hoglinger	0.02	5	17	42922909	42922909	68.4097192859004	68.4097192859004	1
PSP_Hoglinger	0.02	6	17	42955679	43030420	68.4701875836975	68.4879622783315	5
PSP_Hoglinger	0.02	7	17	43058251	43223550	68.5325429517342	68.5425452164392	13
PSP_Hoglinger	0.02	8	17	43335235	43359533	68.6542302164392	68.6697034222327	2
PSP_Hoglinger	0.02	9	17	43409773	43409773	68.6898813062589	68.6898813062589	1
PSP_Hoglinger	0.02	10	17	43467482	43485075	68.7176103917496	68.7203183076808	2
PSP_Hoglinger	0.02	11	17	44068018	44071098	69.2734761779914	69.2738684469862	2
PSP_Hoglinger	0.02	12	17	44136937	44143231	69.2949104915833	69.2952988943509	2
PSP_Hoglinger	0.03	1	1	179259770	179259770	196.016565393594	196.016565393594	1
PSP_Hoglinger	0.03	2	7	12038034	12038034	22.3145494248988	22.3145494248988	1
