GWAS	cM_threshold	cluster	CHR	bp_start	bp_stop	cM_start	cM_stop	nSNPs_in_cluster	extended_bp_start	extended_bp_stop
PD_Nalls_no23	0.08	1	1	154941247	155015779	165.985115479055	166.040822070852	2	154848636	155008520
PD_Nalls_no23	0.08	2	1	155135691	156102426	166.143375907528	166.296442852437	12	155058298	155562978
PD_Nalls_no23	0.08	3	1	156185069	156185069	166.387421409377	166.387421409377	1	156164540	156235800
PD_Nalls_no23	0.08	4	1	205673262	205770138	222.655381565749	222.688604357811	17	205655344	205789032
PD_Nalls_no23	0.08	5	2	134600135	134834675	157.256148590017	157.332616572591	12	134577974	134774291
PD_Nalls_no23	0.08	6	2	168235432	168299085	183.643532917703	183.664023141201	11	168170007	168304107
PD_Nalls_no23	0.08	7	3	58232625	58232625	75.4958726448694	75.4958726448694	1	58185209	58467738
PD_Nalls_no23	0.08	8	3	182990299	183091806	197.843190319129	197.885707628956	29	182885485	183089805
PD_Nalls_no23	0.08	9	4	849886	989064	0.787048078159032	0.852887910744142	97	816642	958068
PD_Nalls_no23	0.08	10	4	15708707	15741709	29.995331871153	30.0411092339217	19	15490554	15739455
PD_Nalls_no23	0.08	11	4	76211207	76284185	91.3146987013116	91.4295934480633	44	76209614	76219414
PD_Nalls_no23	0.08	12	4	89587189	90156624	106.934904839933	107.200084394036	415	89527629	89684042
PD_Nalls_no23	0.08	13	5	60753292	61198117	72.9187703022095	72.9622429084112	119	60514488	61188029
PD_Nalls_no23	0.08	14	7	23076347	23362336	40.5727231555016	40.6520626699395	50	23069041	23212199
PD_Nalls_no23	0.08	15	8	16838782	16858763	40.0366412705827	40.0524063913702	27	16835895	16880798
PD_Nalls_no23	0.08	16	10	119612816	119950976	148.314721619775	148.431494712299	4	119548736	119660643
PD_Nalls_no23	0.08	17	11	133894771	133949522	158.064119082194	158.138559166762	17	133827115	133921933
PD_Nalls_no23	0.08	18	12	40189191	40227006	55.2445494897039	55.255884468479	3	40098487	40296430
PD_Nalls_no23	0.08	19	12	40491747	40491747	55.3746701242003	55.3746701242003	1	40429234	40620503
PD_Nalls_no23	0.08	20	12	122811747	122838013	146.896048798449	146.898662050834	2	122681985	122901373
PD_Nalls_no23	0.08	21	15	61701503	61705400	73.6533499062258	73.6569479456138	2	61674171	61717883
PD_Nalls_no23	0.08	22	16	30863896	30991399	55.8644202650945	55.8891893341975	67	30525971	31099858
PD_Nalls_no23	0.08	23	17	16058679	16131911	42.4030278570582	42.4050735182177	4	15960881	16380054
PD_Nalls_no23	0.08	24	17	45382815	46786047	70.4791525799664	70.9384684767793	2047	45337140	45522633
PD_Nalls_no23	0.08	25	18	43092999	43098270	62.1507699902821	62.1521433206628	3	42954012	43252280
