GWAS	cM_threshold	cluster	CHR	bp_start	bp_stop	cM_start	cM_stop	nSNPs_in_cluster	extended_bp_start	extended_bp_stop
PD_Nalls	0.19	1	1	154925709	156330940	165.98368494347	166.451677725172	51	154836990	155049958
PD_Nalls	0.19	2	1	161474579	161647726	174.674907437379	174.824759345337	8	161410927	161544574
PD_Nalls	0.19	3	1	171697507	171759843	189.76472815095	189.777397694493	78	171655297	171981778
PD_Nalls	0.19	4	1	205673262	205808652	222.655381565749	222.702901710572	117	205634533	205842318
PD_Nalls	0.19	5	1	226718218	226896959	247.04716639299	247.119228486096	36	226622375	226900733
PD_Nalls	0.19	6	1	232501143	232537095	254.113670884114	254.166774460394	27	232416550	232541730
PD_Nalls	0.19	7	2	17966582	17966582	36.5122580378088	36.5122580378088	1	17942013	18084130
PD_Nalls	0.19	8	2	95281351	95373062	120.549615451365	120.563135426453	25	91229386	96674087
PD_Nalls	0.19	9	2	101684478	101988187	123.404377729977	123.447079462383	66	101626674	102045461
PD_Nalls	0.19	10	2	134680901	134837997	157.272483873452	157.379995509583	37	134525095	134837376
PD_Nalls	0.19	11	2	168122712	168321991	183.562160336026	183.786745588415	107	167956988	168282913
PD_Nalls	0.19	12	3	18155035	18408777	37.5880826329091	37.7053514032957	31	17848571	18362366
PD_Nalls	0.19	13	3	28647727	28666849	50.1517036500315	50.1614192196956	6	28606845	28736475
PD_Nalls	0.19	14	3	48179619	49097481	68.8218480970898	68.9877692020852	91	46860069	48494136
PD_Nalls	0.19	15	3	122386868	122570158	134.474071560898	134.529160820967	47	122254028	122585874
PD_Nalls	0.19	16	3	151372636	151414756	166.020216302648	166.0276375985	39	151127276	151462184
PD_Nalls	0.19	17	3	161225421	161379060	173.965659810125	173.992573516359	48	160861375	161652547
PD_Nalls	0.19	18	3	182929202	183162692	197.823403085159	197.959176553048	173	182733748	183114149
PD_Nalls	0.19	19	4	714453	1036991	0.6842796556834	0.954757301937754	197	697378	848241
PD_Nalls	0.19	20	4	15544926	15839216	29.9791595589653	30.0862589271827	244	15347251	15770239
PD_Nalls	0.19	21	4	17871084	18033627	33.7275753126275	33.7662059400249	179	17753968	18112126
PD_Nalls	0.19	22	4	76164576	76501018	91.1845286826559	91.604241545773	268	75925904	76209807
PD_Nalls	0.19	23	4	89350743	90386840	106.672444800726	107.347663930381	697	89309979	89398686
PD_Nalls	0.19	24	4	113422713	113460688	127.981146138864	128.009886197903	9	113408410	113547582
PD_Nalls	0.19	25	4	169642795	169711869	180.851811005037	180.85930992263	7	169346709	169756880
PD_Nalls	0.19	26	5	60510585	61198117	72.8782483680152	72.9622429084112	221	60373979	61260987
PD_Nalls	0.19	27	5	102969361	103177102	111.914942846302	111.929639252646	144	102701750	103351166
PD_Nalls	0.19	28	5	124774580	124774580	134.072920602558	134.072920602558	1	124755269	124876785
PD_Nalls	0.19	29	5	134581029	134863415	142.702487714952	142.720678790128	26	134531330	134990318
PD_Nalls	0.19	30	6	27330850	28086420	49.684191493142	49.7934574991498	109	26809763	27901603
PD_Nalls	0.19	31	6	30151615	30153289	50.5499156532707	50.5503559954094	3	29970749	30487115
PD_Nalls	0.19	32	6	31622577	31636267	51.574794558947	51.5780017085793	2	31513317	31981511
PD_Nalls	0.19	33	6	32255754	32641969	51.8947161780484	52.087254722767	65	32222976	32445387
PD_Nalls	0.19	34	6	32973729	32973729	52.5233518099269	52.5233518099269	1	32932337	32996833
PD_Nalls	0.19	35	6	71769560	71804212	88.3441866253103	88.3579087276165	5	71741136	71889343
PD_Nalls	0.19	36	6	111840583	111952274	122.753069104643	122.792769182647	16	111688228	112017240
PD_Nalls	0.19	37	6	132773629	133018366	141.957737210234	142.069335690315	7	132757390	132962150
PD_Nalls	0.19	38	7	23069505	23363317	40.5510838346762	40.6528604111258	247	23067325	23361167
PD_Nalls	0.19	39	7	66544864	66544864	84.7611531756731	84.7611531756731	1	65570346	66994120
PD_Nalls	0.19	40	8	11796875	11858964	28.1081611713076	28.203564710818	74	11747586	11858766
PD_Nalls	0.19	41	8	16837909	16881618	40.0352175075193	40.0915365039376	53	16801301	16883275
PD_Nalls	0.19	42	8	22599875	22676665	52.219292681484	52.2473813585568	9	22560323	22682808
PD_Nalls	0.19	43	8	129873161	129934475	154.595435813512	154.600937506777	11	129797077	130012439
PD_Nalls	0.19	44	9	17539293	17759499	36.8433310713344	37.2019995202477	100	17489695	17623904
PD_Nalls	0.19	45	9	33818259	34046810	59.6879659651101	59.7215948481991	37	33583067	34386343
PD_Nalls	0.19	46	10	15495271	15566548	35.5400180034718	35.6769364653392	134	15463804	15564473
PD_Nalls	0.19	47	10	102245653	102404453	128.055398024853	128.064333641604	3	101636635	102450084
PD_Nalls	0.19	48	10	119419271	119419271	148.001188112686	148.001188112686	1	119345518	119459554
PD_Nalls	0.19	49	10	119501274	120100087	148.197491054568	148.533198153637	104	119459832	119551713
PD_Nalls	0.19	50	11	10511626	10538236	18.6924654616619	18.7013024233797	17	10497248	10633816
PD_Nalls	0.19	51	11	83776234	83833429	91.6444502440536	91.6785344266302	18	83524003	83840364
PD_Nalls	0.19	52	11	133832061	133986148	158.042512001285	158.195418132826	83	133812027	133948934
PD_Nalls	0.19	53	12	32338739	32389884	53.4372147952762	53.4553362673652	5	32228247	32494149
PD_Nalls	0.19	54	12	33050376	34267861	54.1336208967755	54.5385733501584	21	32925224	33254388
PD_Nalls	0.19	55	12	39820463	40608183	55.0767308092231	55.4009945551728	562	39398111	39984935
PD_Nalls	0.19	56	12	40857752	41085864	55.7456033296954	55.8086428924324	27	40803163	41137361
PD_Nalls	0.19	57	12	41901977	41901977	56.3283211978624	56.3283211978624	1	41739282	41953579
PD_Nalls	0.19	58	12	46025303	46025303	59.2577250331661	59.2577250331661	1	45678272	46119978
PD_Nalls	0.19	59	12	122534215	122639591	146.63169006524	146.641659080878	38	122250022	122667315
PD_Nalls	0.19	60	12	122711253	123179967	146.85938654523	147.050144936772	26	122670329	122903376
PD_Nalls	0.19	61	12	132481571	132487182	173.557997178809	173.564252991151	2	132443548	132590388
PD_Nalls	0.19	62	13	49351229	49365767	53.3004012772461	53.306638962287	4	48928780	49413597
PD_Nalls	0.19	63	13	49721979	49763204	53.59794757693	53.5988514078554	2	49508994	49898677
PD_Nalls	0.19	64	13	97189014	97263104	94.3775967673367	94.4281174188092	7	96958473	97297411
PD_Nalls	0.19	65	14	37520065	37520065	35.5066893298954	35.5066893298954	1	36998718	37725605
PD_Nalls	0.19	66	14	54818442	55733755	50.1761894861219	50.5177005388207	167	54765948	55402693
PD_Nalls	0.19	67	14	74706787	74935311	68.900005738879	68.941643069736	76	74550216	75179201
PD_Nalls	0.19	68	14	87924772	88023286	82.6605281449843	82.6747171916471	53	87760562	88175032
