GWAS	cM_threshold	cluster	CHR	bp_start	bp_stop	cM_start	cM_stop	nSNPs_in_cluster
AD_Bellenguez	0.01	1	1	161133655	161173522	174.289840406263	174.292074984447	6
AD_Bellenguez	0.01	2	1	161185602	161217875	174.30638544276	174.317903973374	5
AD_Bellenguez	0.01	3	1	207172474	207355882	224.531601883569	224.548825305759	63
AD_Bellenguez	0.01	4	1	207480050	207480050	224.624551277861	224.624551277861	1
AD_Bellenguez	0.01	5	1	207486726	207500600	224.642100697165	224.647100733192	5
AD_Bellenguez	0.01	6	1	207503259	207503423	224.66002329297	224.6624370289	2
AD_Bellenguez	0.01	7	1	207510847	207630796	224.676707693202	224.688470956167	31
AD_Bellenguez	0.01	8	1	207633385	207633644	224.713529023167	224.716980183044	2
AD_Bellenguez	0.01	9	1	207669277	207677194	224.74495035749	224.7465524232	2
AD_Bellenguez	0.01	10	2	127014471	127014561	147.606291170047	147.609516946778	2
AD_Bellenguez	0.01	11	2	127015951	127016304	147.645316454682	147.65172736896	2
AD_Bellenguez	0.01	12	2	127020298	127134219	147.676853799201	147.749281520971	167
AD_Bellenguez	0.01	13	2	127135192	127135380	147.766267591992	147.770007959311	3
AD_Bellenguez	0.01	14	2	127136321	127137275	147.788729691478	147.80771493276	7
AD_Bellenguez	0.01	15	2	127137911	127137911	147.826703295175	147.826703295175	1
AD_Bellenguez	0.01	16	2	233113113	233115109	253.689821699814	253.702829093259	4
AD_Bellenguez	0.01	17	2	233116689	233178254	253.713125526947	253.774534789038	126
AD_Bellenguez	0.01	18	2	233180566	233180566	253.791206561574	253.791206561574	1
AD_Bellenguez	0.01	19	2	233182512	233182512	253.808339221728	253.808339221728	1
AD_Bellenguez	0.01	20	3	155084189	155084189	169.629637664958	169.629637664958	1
AD_Bellenguez	0.01	21	3	155135932	155135932	169.717713043774	169.717713043774	1
AD_Bellenguez	0.01	22	4	960489	977051	0.830031623607148	0.840819816298169	3
AD_Bellenguez	0.01	23	4	10961637	10985114	24.2967339178924	24.3124156138459	8
AD_Bellenguez	0.01	24	4	11009974	11009974	24.3297890198231	24.3297890198231	1
AD_Bellenguez	0.01	25	4	11013198	11013198	24.3506428809985	24.3506428809985	1
AD_Bellenguez	0.01	26	4	11018850	11038782	24.3637083482035	24.3733820926242	19
AD_Bellenguez	0.01	27	5	86885886	87111682	101.959463976945	102.000515914953	40
AD_Bellenguez	0.01	28	5	87121196	87136800	102.010656680175	102.01377720125	15
AD_Bellenguez	0.01	29	5	180196966	180207615	207.155958533413	207.172026654676	5
AD_Bellenguez	0.01	30	6	32396067	32408969	51.949492228692	51.9568961658184	27
AD_Bellenguez	0.01	31	6	32636021	32636679	52.0841252013141	52.0844799686373	2
AD_Bellenguez	0.01	32	6	40883392	40883392	62.4372811460976	62.4372811460976	1
AD_Bellenguez	0.01	33	6	41053109	41053109	62.5823980520914	62.5823980520914	1
AD_Bellenguez	0.01	34	6	41161469	41196267	62.592974495811	62.6100940815568	14
AD_Bellenguez	0.01	35	6	41197050	41198572	62.6212756750692	62.6290904508333	2
AD_Bellenguez	0.01	36	6	41232816	41262757	62.6775338345547	62.7033447365722	36
AD_Bellenguez	0.01	37	6	41271095	41272084	62.7265394964048	62.7315771969653	2
AD_Bellenguez	0.01	38	6	47435902	47660822	73.5255410053685	73.5676653710585	97
AD_Bellenguez	0.01	39	6	114358761	114391843	124.801029959811	124.808201475313	6
AD_Bellenguez	0.01	40	7	28116987	28137682	46.2916631188309	46.2977338631723	10
AD_Bellenguez	0.01	41	7	54848587	54853213	80.6580969653356	80.6588592343576	2
AD_Bellenguez	0.01	42	7	54873635	54881563	80.6710032780156	80.6769696861628	3
