GWAS	cM_threshold	cluster	CHR	bp_start	bp_stop	cM_start	cM_stop	nSNPs_in_cluster
ALS_vanRheenen	0.01	1	3	39444758	39493251	63.1600790341453	63.1849438528794	29
ALS_vanRheenen	0.01	2	5	151022235	151036090	161.84119972829	161.853812794214	10
ALS_vanRheenen	0.01	3	5	151048634	151048634	161.864158164691	161.864158164691	1
ALS_vanRheenen	0.01	4	5	172920676	172928840	191.305775624823	191.309016676468	11
ALS_vanRheenen	0.01	5	6	31638599	31638615	51.5788861938537	51.5788878287569	2
ALS_vanRheenen	0.01	6	9	27269016	27269016	51.6654588811144	51.6654588811144	1
ALS_vanRheenen	0.01	7	9	27287058	27287058	51.6791105450568	51.6791105450568	1
ALS_vanRheenen	0.01	8	9	27321049	27321049	51.7193070639455	51.7193070639455	1
ALS_vanRheenen	0.01	9	9	27466682	27466819	52.5338691554314	52.5366599377904	3
ALS_vanRheenen	0.01	10	9	27467765	27469575	52.555930564554	52.5652993807254	3
ALS_vanRheenen	0.01	11	9	27482237	27586617	52.599940048399	52.6610980908273	128
ALS_vanRheenen	0.01	12	9	27591128	27594493	52.673186151491	52.6809964063949	7
ALS_vanRheenen	0.01	13	9	27596576	27597893	52.6920814620034	52.7004218757162	2
ALS_vanRheenen	0.01	14	9	27632744	27632744	52.9480078429598	52.9480078429598	1
ALS_vanRheenen	0.01	15	9	27675212	27675212	53.033686257826	53.033686257826	1
ALS_vanRheenen	0.01	16	9	27804554	27804554	53.3667054752267	53.3667054752267	1
ALS_vanRheenen	0.01	17	9	27882436	27906185	53.4827024087242	53.4895332096328	2
ALS_vanRheenen	0.01	18	9	28077490	28077490	53.7628514567437	53.7628514567437	1
ALS_vanRheenen	0.01	19	9	28117831	28117831	53.7957685132694	53.7957685132694	1
ALS_vanRheenen	0.01	20	9	28432395	28439283	54.3100548331154	54.3196743402777	2
ALS_vanRheenen	0.01	21	9	28531757	28531757	54.8068579862291	54.8068579862291	1
ALS_vanRheenen	0.01	22	12	57745946	57745946	72.1199812933661	72.1199812933661	1
ALS_vanRheenen	0.01	23	12	58262322	58262322	72.4137357684299	72.4137357684299	1
ALS_vanRheenen	0.01	24	12	64355361	64503989	77.4373511188701	77.4523336950594	27
ALS_vanRheenen	0.01	25	14	30531264	30729903	23.3662019051488	23.3845360162825	137
ALS_vanRheenen	0.01	26	19	17631660	17631660	41.5437293980736	41.5437293980736	1
ALS_vanRheenen	0.01	27	19	17638733	17638733	41.5723867845819	41.5723867845819	1
ALS_vanRheenen	0.01	28	19	17640336	17640336	41.5848115921236	41.5848115921236	1
ALS_vanRheenen	0.01	29	19	17641880	17643508	41.6007844768727	41.6127555377151	4
ALS_vanRheenen	0.01	30	20	49818871	49974428	76.0202942839188	76.0555399622442	35
ALS_vanRheenen	0.01	31	20	49988262	50005822	76.0657081056745	76.069684913266	2
ALS_vanRheenen	0.01	32	21	31667290	31731058	33.2712112093086	33.2789015080257	4
ALS_vanRheenen	0.01	33	21	44333234	44333234	60.5436888524286	60.5436888524286	1
ALS_vanRheenen	0.02	1	3	39444758	39493251	63.1600790341453	63.1849438528794	29
ALS_vanRheenen	0.02	2	5	151022235	151048634	161.84119972829	161.864158164691	11
ALS_vanRheenen	0.02	3	5	172920676	172928840	191.305775624823	191.309016676468	11
ALS_vanRheenen	0.02	4	6	31638599	31638615	51.5788861938537	51.5788878287569	2
ALS_vanRheenen	0.02	5	9	27269016	27287058	51.6654588811144	51.6791105450568	2
ALS_vanRheenen	0.02	6	9	27321049	27321049	51.7193070639455	51.7193070639455	1
ALS_vanRheenen	0.02	7	9	27466682	27469575	52.5338691554314	52.5652993807254	6
ALS_vanRheenen	0.02	8	9	27482237	27597893	52.599940048399	52.7004218757162	137
ALS_vanRheenen	0.02	9	9	27632744	27632744	52.9480078429598	52.9480078429598	1
ALS_vanRheenen	0.02	10	9	27675212	27675212	53.033686257826	53.033686257826	1
ALS_vanRheenen	0.02	11	9	27804554	27804554	53.3667054752267	53.3667054752267	1
ALS_vanRheenen	0.02	12	9	27882436	27906185	53.4827024087242	53.4895332096328	2
ALS_vanRheenen	0.02	13	9	28077490	28077490	53.7628514567437	53.7628514567437	1
ALS_vanRheenen	0.02	14	9	28117831	28117831	53.7957685132694	53.7957685132694	1
ALS_vanRheenen	0.02	15	9	28432395	28439283	54.3100548331154	54.3196743402777	2
ALS_vanRheenen	0.02	16	9	28531757	28531757	54.8068579862291	54.8068579862291	1
ALS_vanRheenen	0.02	17	12	57745946	57745946	72.1199812933661	72.1199812933661	1
ALS_vanRheenen	0.02	18	12	58262322	58262322	72.4137357684299	72.4137357684299	1
ALS_vanRheenen	0.02	19	12	64355361	64503989	77.4373511188701	77.4523336950594	27
ALS_vanRheenen	0.02	20	14	30531264	30729903	23.3662019051488	23.3845360162825	137
ALS_vanRheenen	0.02	21	19	17631660	17631660	41.5437293980736	41.5437293980736	1
ALS_vanRheenen	0.02	22	19	17638733	17643508	41.5723867845819	41.6127555377151	6
ALS_vanRheenen	0.02	23	20	49818871	50005822	76.0202942839188	76.069684913266	37
ALS_vanRheenen	0.02	24	21	31667290	31731058	33.2712112093086	33.2789015080257	4
ALS_vanRheenen	0.02	25	21	44333234	44333234	60.5436888524286	60.5436888524286	1
ALS_vanRheenen	0.03	1	3	39444758	39493251	63.1600790341453	63.1849438528794	29
ALS_vanRheenen	0.03	2	5	151022235	151048634	161.84119972829	161.864158164691	11
ALS_vanRheenen	0.03	3	5	172920676	172928840	191.305775624823	191.309016676468	11
ALS_vanRheenen	0.03	4	6	31638599	31638615	51.5788861938537	51.5788878287569	2
ALS_vanRheenen	0.03	5	9	27269016	27287058	51.6654588811144	51.6791105450568	2
ALS_vanRheenen	0.03	6	9	27321049	27321049	51.7193070639455	51.7193070639455	1
ALS_vanRheenen	0.03	7	9	27466682	27469575	52.5338691554314	52.5652993807254	6
ALS_vanRheenen	0.03	8	9	27482237	27597893	52.599940048399	52.7004218757162	137
ALS_vanRheenen	0.03	9	9	27632744	27632744	52.9480078429598	52.9480078429598	1
ALS_vanRheenen	0.03	10	9	27675212	27675212	53.033686257826	53.033686257826	1
ALS_vanRheenen	0.03	11	9	27804554	27804554	53.3667054752267	53.3667054752267	1
ALS_vanRheenen	0.03	12	9	27882436	27906185	53.4827024087242	53.4895332096328	2
ALS_vanRheenen	0.03	13	9	28077490	28077490	53.7628514567437	53.7628514567437	1
ALS_vanRheenen	0.03	14	9	28117831	28117831	53.7957685132694	53.7957685132694	1
ALS_vanRheenen	0.03	15	9	28432395	28439283	54.3100548331154	54.3196743402777	2
ALS_vanRheenen	0.03	16	9	28531757	28531757	54.8068579862291	54.8068579862291	1
ALS_vanRheenen	0.03	17	12	57745946	57745946	72.1199812933661	72.1199812933661	1
ALS_vanRheenen	0.03	18	12	58262322	58262322	72.4137357684299	72.4137357684299	1
ALS_vanRheenen	0.03	19	12	64355361	64503989	77.4373511188701	77.4523336950594	27
ALS_vanRheenen	0.03	20	14	30531264	30729903	23.3662019051488	23.3845360162825	137
ALS_vanRheenen	0.03	21	19	17631660	17643508	41.5437293980736	41.6127555377151	7
ALS_vanRheenen	0.03	22	20	49818871	50005822	76.0202942839188	76.069684913266	37
ALS_vanRheenen	0.03	23	21	31667290	31731058	33.2712112093086	33.2789015080257	4
ALS_vanRheenen	0.03	24	21	44333234	44333234	60.5436888524286	60.5436888524286	1
ALS_vanRheenen	0.04	1	3	39444758	39493251	63.1600790341453	63.1849438528794	29
ALS_vanRheenen	0.04	2	5	151022235	151048634	161.84119972829	161.864158164691	11
ALS_vanRheenen	0.04	3	5	172920676	172928840	191.305775624823	191.309016676468	11
ALS_vanRheenen	0.04	4	6	31638599	31638615	51.5788861938537	51.5788878287569	2
ALS_vanRheenen	0.04	5	9	27269016	27287058	51.6654588811144	51.6791105450568	2
ALS_vanRheenen	0.04	6	9	27321049	27321049	51.7193070639455	51.7193070639455	1
ALS_vanRheenen	0.04	7	9	27466682	27597893	52.5338691554314	52.7004218757162	143
ALS_vanRheenen	0.04	8	9	27632744	27632744	52.9480078429598	52.9480078429598	1
ALS_vanRheenen	0.04	9	9	27675212	27675212	53.033686257826	53.033686257826	1
ALS_vanRheenen	0.04	10	9	27804554	27804554	53.3667054752267	53.3667054752267	1
ALS_vanRheenen	0.04	11	9	27882436	27906185	53.4827024087242	53.4895332096328	2
ALS_vanRheenen	0.04	12	9	28077490	28117831	53.7628514567437	53.7957685132694	2
ALS_vanRheenen	0.04	13	9	28432395	28439283	54.3100548331154	54.3196743402777	2
ALS_vanRheenen	0.04	14	9	28531757	28531757	54.8068579862291	54.8068579862291	1
ALS_vanRheenen	0.04	15	12	57745946	57745946	72.1199812933661	72.1199812933661	1
ALS_vanRheenen	0.04	16	12	58262322	58262322	72.4137357684299	72.4137357684299	1
ALS_vanRheenen	0.04	17	12	64355361	64503989	77.4373511188701	77.4523336950594	27
ALS_vanRheenen	0.04	18	14	30531264	30729903	23.3662019051488	23.3845360162825	137
ALS_vanRheenen	0.04	19	19	17631660	17643508	41.5437293980736	41.6127555377151	7
ALS_vanRheenen	0.04	20	20	49818871	50005822	76.0202942839188	76.069684913266	37
ALS_vanRheenen	0.04	21	21	31667290	31731058	33.2712112093086	33.2789015080257	4
ALS_vanRheenen	0.04	22	21	44333234	44333234	60.5436888524286	60.5436888524286	1
ALS_vanRheenen	0.05	1	3	39444758	39493251	63.1600790341453	63.1849438528794	29
ALS_vanRheenen	0.05	2	5	151022235	151048634	161.84119972829	161.864158164691	11
ALS_vanRheenen	0.05	3	5	172920676	172928840	191.305775624823	191.309016676468	11
ALS_vanRheenen	0.05	4	6	31638599	31638615	51.5788861938537	51.5788878287569	2
ALS_vanRheenen	0.05	5	9	27269016	27321049	51.6654588811144	51.7193070639455	3
ALS_vanRheenen	0.05	6	9	27466682	27597893	52.5338691554314	52.7004218757162	143
ALS_vanRheenen	0.05	7	9	27632744	27632744	52.9480078429598	52.9480078429598	1
ALS_vanRheenen	0.05	8	9	27675212	27675212	53.033686257826	53.033686257826	1
ALS_vanRheenen	0.05	9	9	27804554	27804554	53.3667054752267	53.3667054752267	1
ALS_vanRheenen	0.05	10	9	27882436	27906185	53.4827024087242	53.4895332096328	2
