GWAS	cM_threshold	cluster	CHR	bp_start	bp_stop	cM_start	cM_stop	nSNPs_in_cluster
PD_Nalls_no23	0.01	1	1	154941247	154941247	165.985115479055	165.985115479055	1
PD_Nalls_no23	0.01	2	1	155015779	155015779	166.040822070852	166.040822070852	1
PD_Nalls_no23	0.01	3	1	155135691	155162560	166.143375907528	166.151952228588	4
PD_Nalls_no23	0.01	4	1	155235587	155236376	166.168965549648	166.169113137233	2
PD_Nalls_no23	0.01	5	1	155390201	155419060	166.180649063616	166.181137307617	3
PD_Nalls_no23	0.01	6	1	156038197	156038197	166.232973491759	166.232973491759	1
PD_Nalls_no23	0.01	7	1	156060246	156060246	166.277423835126	166.277423835126	1
PD_Nalls_no23	0.01	8	1	156102426	156102426	166.296442852437	166.296442852437	1
PD_Nalls_no23	0.01	9	1	156185069	156185069	166.387421409377	166.387421409377	1
PD_Nalls_no23	0.01	10	1	205673262	205770138	222.655381565749	222.688604357811	17
PD_Nalls_no23	0.01	11	2	134600135	134662667	157.256148590017	157.261910255414	2
PD_Nalls_no23	0.01	12	2	134693732	134757922	157.275741355746	157.286960150331	3
PD_Nalls_no23	0.01	13	2	134779549	134823942	157.303568338959	157.316902295325	6
PD_Nalls_no23	0.01	14	2	134834675	134834675	157.332616572591	157.332616572591	1
PD_Nalls_no23	0.01	15	2	168235432	168299085	183.643532917703	183.664023141201	11
PD_Nalls_no23	0.01	16	3	58232625	58232625	75.4958726448694	75.4958726448694	1
PD_Nalls_no23	0.01	17	3	182990299	183001850	197.843190319129	197.847159138241	4
PD_Nalls_no23	0.01	18	3	183007683	183007683	197.86727455885	197.86727455885	1
PD_Nalls_no23	0.01	19	3	183012503	183091806	197.87730222232	197.885707628956	24
PD_Nalls_no23	0.01	20	4	849886	989064	0.787048078159032	0.852887910744142	97
PD_Nalls_no23	0.01	21	4	15708707	15737767	29.995331871153	30.0296638080924	17
PD_Nalls_no23	0.01	22	4	15741363	15741709	30.040592484328	30.0411092339217	2
PD_Nalls_no23	0.01	23	4	76211207	76211207	91.3146987013116	91.3146987013116	1
PD_Nalls_no23	0.01	24	4	76213633	76221082	91.3315345411017	91.3629814581342	11
PD_Nalls_no23	0.01	25	4	76243639	76246346	91.388799655662	91.3900951459286	2
